Entity,Year,Predicted Life Expectancy,Projected CO2 per capita,Projected GDP per capita
Bahamas,2029,75.69,7.4467,32399.24
Bahamas,2030,75.69,7.5509,32385.87
Bahamas,2031,75.69,7.6551,32372.51
Bahamas,2032,75.69,7.7593,32359.15
Bahamas,2033,75.69,7.8636,32345.78
Bahamas,2034,75.69,7.9678,32332.42
Bahamas,2035,75.69,8.072,32319.05
Bahrain,2026,78.28,24.4923,58102.04
Bahrain,2027,78.28,24.5666,58463.02
Bahrain,2028,78.28,24.6409,58824.0
Bahrain,2029,77.34,24.7152,59184.98
Bahrain,2030,77.34,24.7895,59545.96
Bahrain,2031,77.69,24.8638,59906.94
Bahrain,2032,77.69,24.938,60267.92
Bahrain,2033,77.69,25.0123,60628.9
Bahrain,2034,77.22,25.0866,60989.88
Bahrain,2035,77.53,25.1609,61350.86
Bangladesh,2026,66.17,0.7029,8963.72
Bangladesh,2027,65.94,0.7247,9275.01
Bangladesh,2028,65.13,0.7465,9586.3
Bangladesh,2029,67.48,0.7683,9897.6
Bangladesh,2030,67.48,0.7901,10208.89
Bangladesh,2031,68.08,0.8119,10520.18
Bangladesh,2032,68.37,0.8337,10831.47
Bangladesh,2033,67.8,0.8555,11142.76
Bangladesh,2034,68.92,0.8773,11454.05
Bangladesh,2035,69.76,0.8991,11765.34
Barbados,2026,72.54,4.0007,18767.52
Barbados,2027,72.39,3.8899,18565.39
Barbados,2028,73.03,3.779,18363.26
Barbados,2029,72.19,3.6682,18161.13
Barbados,2030,72.19,3.5574,17959.0
Barbados,2031,72.19,3.4466,17756.87
Barbados,2032,72.19,3.3357,17554.74
Barbados,2033,72.19,3.2249,17352.61
Barbados,2034,72.19,3.1141,17150.48
Barbados,2035,72.19,3.0033,16948.35
Belarus,2026,75.38,6.2392,28360.59
Belarus,2027,75.53,6.2196,28610.42
Belarus,2028,75.53,6.2,28860.25
Belarus,2029,75.32,6.1803,29110.09
Belarus,2030,75.32,6.1607,29359.92
Belarus,2031,75.32,6.141,29609.75
Belarus,2032,75.32,6.1214,29859.58
Belarus,2033,75.32,6.1018,30109.41
Belarus,2034,75.5,6.0821,30359.24
Belarus,2035,75.5,6.0625,30609.07
Belgium,2026,81.86,7.027,63182.01
Belgium,2027,81.86,6.8495,63665.91
Belgium,2028,81.86,6.672,64149.82
Belgium,2029,82.0,6.4945,64633.72
Belgium,2030,82.0,6.317,65117.62
Belgium,2031,82.14,6.1395,65601.53
Belgium,2032,82.14,5.962,66085.43
Belgium,2033,82.37,5.7845,66569.34
Belgium,2034,82.18,5.607,67053.24
Belgium,2035,81.18,5.4295,67537.14
Belize,2026,70.95,1.9127,11706.64
Belize,2027,70.69,1.9328,11692.84
Belize,2028,70.69,1.9529,11679.04
Belize,2029,70.69,1.973,11665.24
Belize,2030,70.69,1.993,11651.44
Belize,2031,70.69,2.0131,11637.64
Belize,2032,70.69,2.0332,11623.84
Belize,2033,70.69,2.0533,11610.04
Belize,2034,70.69,2.0733,11596.24
Belize,2035,70.69,2.0934,11582.44
Benin,2026,60.77,0.4264,3779.61
Benin,2027,59.93,0.4249,3848.45
Benin,2028,62.29,0.4234,3917.28
Benin,2029,61.56,0.4219,3986.12
Benin,2030,61.41,0.4204,4054.96
Benin,2031,61.43,0.4188,4123.8
Benin,2032,61.43,0.4173,4192.63
Benin,2033,60.08,0.4158,4261.47
Benin,2034,61.3,0.4143,4330.31
Benin,2035,61.2,0.4128,4399.15
Bermuda,2026,80.21,8.9587,91468.86
Bermuda,2027,80.21,9.0002,90881.87
Bermuda,2028,80.21,9.0418,90294.88
Bermuda,2029,79.64,9.0833,89707.89
Bermuda,2030,79.64,9.1249,89120.9
Bermuda,2031,79.64,9.1665,88533.91
Bermuda,2032,79.64,9.208,87946.92
Bermuda,2033,79.64,9.2496,87359.93
Bermuda,2034,79.64,9.2911,86772.94
Bermuda,2035,79.64,9.3327,86185.95
Bhutan,2026,71.74,2.3568,16007.34
Bhutan,2027,71.74,2.4136,16364.44
Bhutan,2028,71.74,2.4703,16721.55
Bhutan,2029,72.23,2.527,17078.66
Bhutan,2030,72.23,2.5838,17435.76
Bhutan,2031,72.23,2.6405,17792.87
Bhutan,2032,72.23,2.6973,18149.98
Bhutan,2033,71.67,2.754,18507.08
Bhutan,2034,72.35,2.8107,18864.19
Bhutan,2035,72.35,2.8675,19221.3
Bolivia,2026,70.85,2.1036,12530.84
Bolivia,2027,70.85,2.1378,12706.23
Bolivia,2028,70.17,2.172,12881.62
Bolivia,2029,69.97,2.2062,13057.01
Bolivia,2030,68.83,2.2404,13232.4
Bolivia,2031,68.83,2.2746,13407.79
Bolivia,2032,71.58,2.3089,13583.18
Bolivia,2033,71.58,2.3431,13758.57
Bolivia,2034,71.61,2.3773,13933.96
Bolivia,2035,72.15,2.4115,14109.34
Bosnia and Herzegovina,2026,74.05,6.7179,21012.79
Bosnia and Herzegovina,2027,74.05,6.7832,21595.12
Bosnia and Herzegovina,2028,74.05,6.8485,22177.44
Bosnia and Herzegovina,2029,74.05,6.9139,22759.77
Bosnia and Herzegovina,2030,74.05,6.9792,23342.09
Bosnia and Herzegovina,2031,74.05,7.0446,23924.42
Bosnia and Herzegovina,2032,74.05,7.1099,24506.75
Bosnia and Herzegovina,2033,74.05,7.1752,25089.07
Bosnia and Herzegovina,2034,75.1,7.2406,25671.4
Bosnia and Herzegovina,2035,75.1,7.3059,26253.72
Botswana,2026,72.25,3.4019,19850.49
Botswana,2027,72.25,3.4713,20171.1
Botswana,2028,72.92,3.5407,20491.71
Botswana,2029,73.45,3.6101,20812.33
Botswana,2030,73.76,3.6795,21132.94
Botswana,2031,73.14,3.7489,21453.55
Botswana,2032,73.83,3.8183,21774.17
Botswana,2033,73.83,3.8876,22094.78
Botswana,2034,73.83,3.957,22415.39
Botswana,2035,73.83,4.0264,22736.01
Brazil,2026,72.23,2.3216,18320.43
Brazil,2027,72.23,2.3149,18328.72
Brazil,2028,72.23,2.3083,18337.02
Brazil,2029,72.23,2.3016,18345.31
Brazil,2030,72.23,2.2949,18353.61
Brazil,2031,72.17,2.2883,18361.9
Brazil,2032,72.17,2.2816,18370.2
Brazil,2033,71.89,2.2749,18378.49
Brazil,2034,71.89,2.2683,18386.79
Brazil,2035,71.89,2.2616,18395.08
Brunei,2026,76.71,26.3416,72305.2
Brunei,2027,77.77,26.7668,71295.94
Brunei,2028,76.54,27.1921,70286.68
Brunei,2029,75.9,27.6174,69277.42
Brunei,2030,75.56,28.0427,68268.17
Brunei,2031,75.56,28.4679,67258.91
Brunei,2032,71.81,28.8932,66249.65
Brunei,2033,74.26,29.3185,65240.39
Brunei,2034,76.04,29.7438,64231.13
Brunei,2035,76.04,30.169,63221.87
Bulgaria,2026,75.6,5.7356,34881.67
Bulgaria,2027,74.51,5.6835,35749.53
Bulgaria,2028,78.25,5.6314,36617.39
Bulgaria,2029,78.07,5.5793,37485.25
Bulgaria,2030,75.32,5.5272,38353.11
Bulgaria,2031,77.78,5.475,39220.96
Bulgaria,2032,78.51,5.4229,40088.82
Bulgaria,2033,79.3,5.3708,40956.68
Bulgaria,2034,79.3,5.3187,41824.54
Bulgaria,2035,79.57,5.2666,42692.4
Burkina Faso,2026,63.99,0.3466,2697.22
Burkina Faso,2027,62.71,0.3606,2748.52
Burkina Faso,2028,62.71,0.3745,2799.81
Burkina Faso,2029,62.71,0.3884,2851.1
Burkina Faso,2030,61.82,0.4023,2902.39
Burkina Faso,2031,60.1,0.4162,2953.68
Burkina Faso,2032,64.04,0.4301,3004.98
Burkina Faso,2033,62.64,0.4441,3056.27
Burkina Faso,2034,63.45,0.458,3107.56
Burkina Faso,2035,63.45,0.4719,3158.85
Burundi,2026,49.19,0.0723,1058.07
Burundi,2027,48.43,0.0749,1062.01
Burundi,2028,47.62,0.0776,1065.95
Burundi,2029,47.62,0.0802,1069.88
Burundi,2030,48.03,0.0828,1073.82
Burundi,2031,47.94,0.0854,1077.76
Burundi,2032,47.94,0.0881,1081.7
Burundi,2033,48.97,0.0907,1085.64
Burundi,2034,49.19,0.0933,1089.58
Burundi,2035,49.97,0.0959,1093.52
Cambodia,2026,66.56,1.5498,7621.95
Cambodia,2027,68.27,1.631,7861.51
Cambodia,2028,68.59,1.7122,8101.08
Cambodia,2029,68.85,1.7934,8340.65
Cambodia,2030,70.61,1.8747,8580.21
Cambodia,2031,70.09,1.9559,8819.78
Cambodia,2032,70.09,2.0371,9059.35
Cambodia,2033,70.09,2.1184,9298.91
Cambodia,2034,69.41,2.1996,9538.48
Cambodia,2035,67.9,2.2808,9778.05
Cameroon,2026,62.05,0.3423,5113.8
Cameroon,2027,62.86,0.3375,5161.19
Cameroon,2028,62.86,0.3327,5208.58
Cameroon,2029,64.91,0.3278,5255.97
Cameroon,2030,64.91,0.323,5303.35
Cameroon,2031,64.91,0.3181,5350.74
Cameroon,2032,65.01,0.3133,5398.13
Cameroon,2033,66.69,0.3085,5445.52
Cameroon,2034,67.36,0.3036,5492.91
Cameroon,2035,66.58,0.2988,5540.3
Canada,2026,79.0,13.4315,59249.1
Canada,2027,79.0,13.2462,59627.42
Canada,2028,79.0,13.0609,60005.73
Canada,2029,79.0,12.8756,60384.04
Canada,2030,78.51,12.6903,60762.36
Canada,2031,78.51,12.505,61140.67
Canada,2032,77.98,12.3197,61518.98
Canada,2033,77.98,12.1344,61897.29
Canada,2034,78.48,11.9491,62275.61
Canada,2035,77.88,11.7638,62653.92
Cape Verde,2026,67.76,1.1371,9121.47
Cape Verde,2027,67.76,1.1436,9246.87
Cape Verde,2028,67.76,1.1501,9372.26
Cape Verde,2029,67.76,1.1565,9497.66
Cape Verde,2030,67.41,1.163,9623.06
Cape Verde,2031,67.28,1.1694,9748.45
Cape Verde,2032,67.28,1.1759,9873.85
Cape Verde,2033,67.28,1.1824,9999.25
Cape Verde,2034,67.28,1.1888,10124.64
Cape Verde,2035,67.28,1.1953,10250.04
Central African Republic,2026,50.05,0.086,953.7
Central African Republic,2027,50.17,0.0896,929.05
Central African Republic,2028,48.35,0.0931,904.4
Central African Republic,2029,49.79,0.0967,879.75
Central African Republic,2030,49.88,0.1003,855.1
Central African Republic,2031,40.0,0.1039,830.45
Central African Republic,2032,53.81,0.1074,805.8
Central African Republic,2033,53.81,0.111,781.15
Central African Republic,2034,54.52,0.1146,756.5
Central African Republic,2035,49.74,0.1182,731.85
Chad,2026,56.49,0.1681,2394.48
Chad,2027,56.24,0.171,2371.04
Chad,2028,57.39,0.174,2347.59
Chad,2029,57.39,0.1769,2324.15
Chad,2030,52.59,0.1798,2300.71
Chad,2031,54.5,0.1828,2277.27
Chad,2032,53.73,0.1857,2253.83
Chad,2033,53.82,0.1887,2230.39
Chad,2034,54.32,0.1916,2206.95
Chad,2035,54.46,0.1945,2183.51
Chile,2026,75.3,4.3838,30837.37
Chile,2027,75.3,4.3839,31195.71
Chile,2028,75.3,4.384,31554.05
Chile,2029,75.3,4.3841,31912.39
Chile,2030,75.3,4.3842,32270.73
Chile,2031,75.3,4.3842,32629.07
Chile,2032,75.3,4.3843,32987.41
Chile,2033,75.3,4.3844,33345.76
Chile,2034,75.3,4.3845,33704.1
Chile,2035,75.3,4.3845,34062.44
China,2026,74.32,8.6113,25224.74
China,2027,76.06,8.7458,26154.37
China,2028,72.14,8.8802,27084.0
China,2029,75.89,9.0147,28013.63
China,2030,75.89,9.1492,28943.26
China,2031,75.89,9.2837,29872.89
China,2032,76.0,9.4182,30802.52
China,2033,76.0,9.5527,31732.15
China,2034,76.0,9.6871,32661.78
China,2035,76.0,9.8216,33591.41
Colombia,2026,74.23,1.9278,19250.42
Colombia,2027,74.23,1.9388,19538.89
Colombia,2028,73.21,1.9497,19827.36
Colombia,2029,73.21,1.9607,20115.83
Colombia,2030,73.21,1.9716,20404.3
Colombia,2031,75.28,1.9826,20692.77
Colombia,2032,75.65,1.9936,20981.23
Colombia,2033,75.65,2.0045,21269.7
Colombia,2034,75.53,2.0155,21558.17
Colombia,2035,74.99,2.0264,21846.64
Comoros,2026,65.19,0.6808,3532.31
Comoros,2027,65.19,0.713,3552.36
Comoros,2028,64.97,0.7452,3572.41
Comoros,2029,64.78,0.7775,3592.46
Comoros,2030,64.78,0.8097,3612.52
Comoros,2031,59.46,0.8419,3632.57
Comoros,2032,66.01,0.8742,3652.62
Comoros,2033,66.01,0.9064,3672.67
Comoros,2034,64.91,0.9387,3692.73
Comoros,2035,65.03,0.9709,3712.78
Congo,2026,64.45,1.3722,5506.44
Congo,2027,65.01,1.3896,5286.65
Congo,2028,65.01,1.407,5066.87
Congo,2029,64.84,1.4244,4847.09
Congo,2030,65.44,1.4418,4627.3
Congo,2031,65.32,1.4591,4407.52
Congo,2032,64.51,1.4765,4187.74
Congo,2033,64.75,1.4939,3967.95
Congo,2034,64.75,1.5113,3748.17
Congo,2035,64.32,1.5287,3528.39
Costa Rica,2026,79.36,1.5076,26745.12
Costa Rica,2027,78.53,1.5004,27247.53
Costa Rica,2028,79.15,1.4933,27749.94
Costa Rica,2029,79.15,1.4861,28252.35
Costa Rica,2030,79.15,1.4789,28754.76
Costa Rica,2031,79.15,1.4718,29257.16
Costa Rica,2032,79.15,1.4646,29759.57
Costa Rica,2033,79.33,1.4575,30261.98
Costa Rica,2034,79.33,1.4503,30764.39
Costa Rica,2035,79.33,1.4431,31266.8
Cote d'Ivoire,2026,64.88,0.5097,7028.62
Cote d'Ivoire,2027,64.88,0.522,7208.64
Cote d'Ivoire,2028,63.14,0.5343,7388.67
Cote d'Ivoire,2029,59.75,0.5466,7568.7
Cote d'Ivoire,2030,59.75,0.5589,7748.73
Cote d'Ivoire,2031,62.81,0.5712,7928.75
Cote d'Ivoire,2032,62.27,0.5835,8108.78
Cote d'Ivoire,2033,63.23,0.5958,8288.81
Cote d'Ivoire,2034,65.42,0.608,8468.84
Cote d'Ivoire,2035,64.96,0.6203,8648.86
Croatia,2026,80.09,4.3035,40975.17
Croatia,2027,80.09,4.2822,41847.97
Croatia,2028,80.17,4.2609,42720.77
Croatia,2029,80.54,4.2395,43593.58
Croatia,2030,80.67,4.2182,44466.38
Croatia,2031,80.67,4.1969,45339.18
Croatia,2032,80.67,4.1755,46211.98
Croatia,2033,81.1,4.1542,47084.78
Croatia,2034,81.16,4.1329,47957.58
Croatia,2035,81.16,4.1115,48830.38
Curacao,2026,73.66,5.5876,23807.76
Curacao,2027,73.64,3.4431,23215.51
Curacao,2028,77.29,1.2987,22623.26
Curacao,2029,79.0,0.0,22031.01
Curacao,2030,79.0,0.0,21438.75
Curacao,2031,78.81,0.0,20846.5
Curacao,2032,75.44,0.0,20254.25
Curacao,2033,75.53,0.0,19662.0
Curacao,2034,75.53,0.0,19069.75
Curacao,2035,75.34,0.0,18477.5
Cyprus,2026,82.05,4.6181,50012.95
Cyprus,2027,81.47,4.4839,50762.44
Cyprus,2028,80.98,4.3498,51511.94
Cyprus,2029,81.85,4.2156,52261.43
Cyprus,2030,81.85,4.0814,53010.92
Cyprus,2031,81.85,3.9472,53760.42
Cyprus,2032,81.69,3.813,54509.91
Cyprus,2033,81.5,3.6788,55259.4
Cyprus,2034,81.61,3.5446,56008.9
Cyprus,2035,81.07,3.4105,56758.39
Czechia,2026,81.31,7.923,51330.8
Czechia,2027,81.31,7.7265,52136.9
Czechia,2028,81.45,7.53,52943.0
Czechia,2029,81.53,7.3335,53749.11
Czechia,2030,81.53,7.137,54555.21
Czechia,2031,81.53,6.9404,55361.31
Czechia,2032,81.72,6.7439,56167.41
Czechia,2033,81.86,6.5474,56973.52
Czechia,2034,81.86,6.3509,57779.62
Czechia,2035,81.89,6.1544,58585.72
Democratic Republic of Congo,2026,54.65,0.0513,1593.24
Democratic Republic of Congo,2027,54.65,0.052,1617.06
Democratic Republic of Congo,2028,55.45,0.0527,1640.87
Democratic Republic of Congo,2029,55.45,0.0534,1664.69
Democratic Republic of Congo,2030,57.28,0.054,1688.5
Democratic Republic of Congo,2031,51.53,0.0547,1712.32
Democratic Republic of Congo,2032,51.53,0.0554,1736.13
Democratic Republic of Congo,2033,51.95,0.0561,1759.95
Democratic Republic of Congo,2034,53.31,0.0568,1783.76
Democratic Republic of Congo,2035,52.86,0.0575,1807.58
Denmark,2026,81.83,3.4677,72086.41
Denmark,2027,81.43,3.1712,72876.13
Denmark,2028,81.43,2.8747,73665.85
Denmark,2029,81.47,2.5782,74455.58
Denmark,2030,81.4,2.2817,75245.3
Denmark,2031,81.84,1.9852,76035.02
Denmark,2032,83.11,1.6887,76824.75
Denmark,2033,82.81,1.3922,77614.47
Denmark,2034,81.75,1.0957,78404.19
Denmark,2035,84.79,0.7993,79193.92
Djibouti,2026,64.88,0.5115,7011.39
Djibouti,2027,64.88,0.5195,7198.86
Djibouti,2028,64.88,0.5275,7386.34
Djibouti,2029,59.96,0.5355,7573.82
Djibouti,2030,59.75,0.5435,7761.3
Djibouti,2031,60.57,0.5514,7948.78
Djibouti,2032,60.03,0.5594,8136.25
Djibouti,2033,63.56,0.5674,8323.73
Djibouti,2034,65.42,0.5754,8511.21
Djibouti,2035,64.96,0.5834,8698.69
Dominica,2026,71.74,2.4129,16599.72
Dominica,2027,71.74,2.4128,16550.26
Dominica,2028,71.74,2.4127,16500.81
Dominica,2029,71.74,2.4125,16451.35
Dominica,2030,71.74,2.4124,16401.9
Dominica,2031,71.74,2.4123,16352.45
Dominica,2032,71.74,2.4121,16302.99
Dominica,2033,71.74,2.412,16253.54
Dominica,2034,71.74,2.4119,16204.09
Dominica,2035,71.74,2.4118,16154.63
Dominican Republic,2026,73.64,2.8743,25339.95
Dominican Republic,2027,74.84,2.9308,26012.7
Dominican Republic,2028,74.95,2.9872,26685.44
Dominican Republic,2029,75.28,3.0436,27358.19
Dominican Republic,2030,75.28,3.1001,28030.93
Dominican Republic,2031,75.28,3.1565,28703.68
Dominican Republic,2032,75.28,3.2129,29376.42
Dominican Republic,2033,75.28,3.2694,30049.17
Dominican Republic,2034,75.53,3.3258,30721.91
Dominican Republic,2035,75.53,3.3822,31394.65
East Timor,2026,67.18,0.5556,5987.81
East Timor,2027,60.89,0.5642,6114.74
East Timor,2028,67.63,0.5729,6241.67
East Timor,2029,67.63,0.5815,6368.6
East Timor,2030,67.43,0.5902,6495.53
East Timor,2031,65.86,0.5989,6622.46
East Timor,2032,65.86,0.6075,6749.39
East Timor,2033,65.68,0.6162,6876.32
East Timor,2034,66.5,0.6248,7003.25
East Timor,2035,66.5,0.6335,7130.18
Ecuador,2026,71.14,2.202,14775.21
Ecuador,2027,71.14,2.1852,14917.31
Ecuador,2028,71.14,2.1685,15059.42
Ecuador,2029,71.96,2.1518,15201.53
Ecuador,2030,71.96,2.135,15343.64
Ecuador,2031,71.96,2.1183,15485.74
Ecuador,2032,71.96,2.1016,15627.85
Ecuador,2033,71.96,2.0849,15769.96
Ecuador,2034,72.29,2.0681,15912.07
Ecuador,2035,72.29,2.0514,16054.17
Egypt,2026,71.89,2.2371,16965.78
Egypt,2027,71.89,2.2301,17243.44
Egypt,2028,72.15,2.223,17521.11
Egypt,2029,72.15,2.2159,17798.77
Egypt,2030,72.15,2.2088,18076.43
Egypt,2031,72.35,2.2017,18354.1
Egypt,2032,72.35,2.1947,18631.76
Egypt,2033,72.5,2.1876,18909.43
Egypt,2034,72.5,2.1805,19187.09
Egypt,2035,72.5,2.1734,19464.75
El Salvador,2026,69.42,1.24,11699.6
El Salvador,2027,69.42,1.2556,11886.5
El Salvador,2028,70.75,1.2712,12073.4
El Salvador,2029,70.75,1.2868,12260.3
El Salvador,2030,71.57,1.3025,12447.19
El Salvador,2031,70.91,1.3181,12634.09
El Salvador,2032,70.48,1.3337,12820.99
El Salvador,2033,71.43,1.3493,13007.89
El Salvador,2034,71.43,1.3649,13194.78
El Salvador,2035,71.75,1.3806,13381.68
Equatorial Guinea,2026,68.4,3.4216,8076.49
Equatorial Guinea,2027,66.66,3.3046,6306.03
Equatorial Guinea,2028,66.35,3.1876,4535.57
Equatorial Guinea,2029,67.97,3.0706,2765.11
Equatorial Guinea,2030,67.83,2.9536,994.65
Equatorial Guinea,2031,64.75,2.8366,0.0
Equatorial Guinea,2032,64.21,2.7196,0.0
Equatorial Guinea,2033,63.26,2.6026,0.0
Equatorial Guinea,2034,63.26,2.4856,0.0
Equatorial Guinea,2035,63.26,2.3686,0.0
Estonia,2026,80.76,6.6758,47689.86
Estonia,2027,80.9,6.1833,48713.45
Estonia,2028,79.38,5.6907,49737.04
Estonia,2029,81.19,5.1982,50760.63
Estonia,2030,80.93,4.7057,51784.23
Estonia,2031,81.85,4.2131,52807.82
Estonia,2032,81.66,3.7206,53831.41
Estonia,2033,80.87,3.2281,54855.0
Estonia,2034,79.86,2.7355,55878.59
Estonia,2035,79.53,2.243,56902.18
Eswatini,2026,68.7,0.7977,10792.61
Eswatini,2027,69.04,0.7899,10945.28
Eswatini,2028,69.04,0.7821,11097.94
Eswatini,2029,69.04,0.7744,11250.61
Eswatini,2030,70.22,0.7666,11403.28
Eswatini,2031,70.22,0.7588,11555.94
Eswatini,2032,71.16,0.751,11708.61
Eswatini,2033,71.16,0.7432,11861.27
Eswatini,2034,72.12,0.7354,12013.94
Eswatini,2035,73.47,0.7276,12166.61
Ethiopia,2026,58.8,0.175,3151.7
Ethiopia,2027,59.39,0.1808,3261.78
Ethiopia,2028,59.49,0.1866,3371.86
Ethiopia,2029,59.91,0.1924,3481.94
Ethiopia,2030,59.58,0.1982,3592.01
Ethiopia,2031,58.7,0.2039,3702.09
Ethiopia,2032,59.26,0.2097,3812.17
Ethiopia,2033,59.73,0.2155,3922.25
Ethiopia,2034,58.21,0.2213,4032.32
Ethiopia,2035,58.8,0.2271,4142.4
Faroe Islands,2026,77.74,14.6643,76855.67
Faroe Islands,2027,77.74,14.8122,78251.78
Faroe Islands,2028,77.74,14.9601,79647.89
Faroe Islands,2029,77.74,15.1079,81043.99
Faroe Islands,2030,77.86,15.2558,82440.1
Faroe Islands,2031,77.86,15.4037,83836.21
Faroe Islands,2032,77.86,15.5515,85232.32
Faroe Islands,2033,77.86,15.6994,86628.43
Faroe Islands,2034,77.86,15.8473,88024.53
